bank_name,product_type,product_name,min_amount,max_amount,interest_rate_min,interest_rate_max,tenure_options,processing_fee_pct,annual_fee,eligibility_notes,source_url,source_note,last_verified_date
HDFC Bank,term_insurance,HDFC Life Click 2 Protect Super,500000,20000000,0.00,0.00,"[10,15,20,25,30]",,,"Entry age 18-65; medical underwriting above Rs 50 lakh cover; non-smoker rates materially lower","","Premium is computed by the app from a representative premium-per-lakh band rather than a live quote; illustrative for this prototype. Verify current premiums on the insurer's official website before any real use.",2026-09-12
ICICI Bank,term_insurance,ICICI Pru iProtect Smart,500000,20000000,0.00,0.00,"[10,15,20,25,30]",,,"Entry age 18-65; medical underwriting above Rs 50 lakh cover; riders available for critical illness","","Premium is computed by the app from a representative premium-per-lakh band rather than a live quote; illustrative for this prototype. Verify current premiums on the insurer's official website before any real use.",2026-09-12
Axis Bank,term_insurance,Axis Max Life Smart Secure Plus,500000,20000000,0.00,0.00,"[10,15,20,25,30]",,,"Entry age 18-65; medical underwriting above Rs 50 lakh cover","","Premium is computed by the app from a representative premium-per-lakh band rather than a live quote; illustrative for this prototype. Verify current premiums on the insurer's official website before any real use.",2026-09-12
Kotak Mahindra Bank,term_insurance,Kotak e-Term Plan,500000,20000000,0.00,0.00,"[10,15,20,25,30]",,,"Entry age 18-65; medical underwriting above Rs 50 lakh cover","","Premium is computed by the app from a representative premium-per-lakh band rather than a live quote; illustrative for this prototype. Verify current premiums on the insurer's official website before any real use.",2026-09-12
Bank of Baroda,term_insurance,India First Life Elite Term Plan,500000,10000000,0.00,0.00,"[10,15,20,25,30]",,,"Entry age 18-60; medical underwriting above Rs 50 lakh cover","","Premium is computed by the app from a representative premium-per-lakh band rather than a live quote; illustrative for this prototype. Verify current premiums on the insurer's official website before any real use.",2026-09-12
SBI,mutual_fund_sip,SBI Nifty 50 Index Fund - Direct Growth,500,1000000,0.00,0.00,[],,,"No credit check; SIP minimum commonly Rs 500; market-linked, returns not guaranteed","","Index fund SIP minimums reflect commonly published thresholds for this fund category; illustrative for this prototype. Expense ratios and minimums change - verify on the AMC's official website before any real use.",2026-09-12
HDFC Bank,mutual_fund_sip,HDFC Index Fund Nifty 50 Plan - Direct Growth,100,1000000,0.00,0.00,[],,,"No credit check; SIP minimum commonly Rs 100; market-linked, returns not guaranteed","","Index fund SIP minimums reflect commonly published thresholds for this fund category; illustrative for this prototype. Expense ratios and minimums change - verify on the AMC's official website before any real use.",2026-09-12
ICICI Bank,mutual_fund_sip,ICICI Prudential Nifty 50 Index Fund - Direct Growth,100,1000000,0.00,0.00,[],,,"No credit check; SIP minimum commonly Rs 100; market-linked, returns not guaranteed","","Index fund SIP minimums reflect commonly published thresholds for this fund category; illustrative for this prototype. Expense ratios and minimums change - verify on the AMC's official website before any real use.",2026-09-12
Axis Bank,mutual_fund_sip,Axis Nifty 100 Index Fund - Direct Growth,100,1000000,0.00,0.00,[],,,"No credit check; SIP minimum commonly Rs 100; market-linked, returns not guaranteed","","Index fund SIP minimums reflect commonly published thresholds for this fund category; illustrative for this prototype. Expense ratios and minimums change - verify on the AMC's official website before any real use.",2026-09-12
Kotak Mahindra Bank,mutual_fund_sip,Kotak Nifty 50 Index Fund - Direct Growth,100,1000000,0.00,0.00,[],,,"No credit check; SIP minimum commonly Rs 100; market-linked, returns not guaranteed","","Index fund SIP minimums reflect commonly published thresholds for this fund category; illustrative for this prototype. Expense ratios and minimums change - verify on the AMC's official website before any real use.",2026-09-12
Bank of Baroda,mutual_fund_sip,Baroda BNP Paribas Large Cap Fund - Direct Growth,500,1000000,0.00,0.00,[],,,"No credit check; SIP minimum commonly Rs 500; market-linked, returns not guaranteed","","Large-cap fund SIP minimums reflect commonly published thresholds for this fund category; illustrative for this prototype. Expense ratios and minimums change - verify on the AMC's official website before any real use.",2026-09-12
Punjab National Bank,mutual_fund_sip,PNB MetLife / UTI Nifty Index Fund - Direct Growth,500,1000000,0.00,0.00,[],,,"No credit check; SIP minimum commonly Rs 500; market-linked, returns not guaranteed","","Index fund SIP minimums reflect commonly published thresholds for this fund category; illustrative for this prototype. Expense ratios and minimums change - verify on the AMC's official website before any real use.",2026-09-12
